id_compteur,nom_compteur,id,name,channel_id,channel_name,installation_date,counter,latitud,longitud
100047544-101047544,77 boulevard Richard Lenoir N-S,100047544,boulevard Richard Lenoir,101047544,N-S,2018-12-05,Y2I19038116,48.860852,2.372279
100047545-103047545,Face 104 rue d'Aubervilliers N-S,100047545,rue d'Aubervilliers,103047545,N-S,2018-11-29,Y2H19070335,48.890457,2.368852
100047545-104047545,Face 104 rue d'Aubervilliers S-N,100047545,rue d'Aubervilliers,104047545,S-N,2018-11-29,Y2H19070335,48.890457,2.368852
100047546-103047546,Face au 70 quai de Bercy S-N,100047546,quai de Bercy,103047546,S-N,2018-11-30,Y2H20022165,48.829523,2.38699
100047546-104047546,Face au 70 quai de Bercy N-S,100047546,quai de Bercy,104047546,N-S,2018-11-30,Y2H20022165,48.829523,2.38699
100047547-103047547,6 rue Julia Bartet SO-NE,100047547,rue Julia Bartet,103047547,SO-NE,2018-11-28,Y2H18086323,48.82624,2.30281
100047547-104047547,6 rue Julia Bartet NE-SO,100047547,rue Julia Bartet,104047547,NE-SO,2018-11-28,Y2H18086323,48.82624,2.30281
100047548-103047548,Face au 25 quai de l'Oise NE-SO,100047548,quai de l'Oise,103047548,NE-SO,2018-11-28,Y2H20083609,48.89141,2.38482
100047548-104047548,Face au 25 quai de l'Oise SO-NE,100047548,quai de l'Oise,104047548,SO-NE,2018-11-28,Y2H20083609,48.89141,2.38482
100047549-101047549,Pont National NE-SO,100047549,Pont National,101047549,NE-SO,2018-12-05,Y2H19070364,48.82682,2.38491
100047551-102047551,Pont du Garigliano SE-NO,100047551,Pont du Garigliano,102047551,SE-NO,2018-12-01,Y2H18086327,48.83992,2.26708
100049407-353255859,152 boulevard du Montparnasse O-E,100049407,boulevard du Montparnasse,353255859,O-E,2018-12-07,Y2H21015072,48.84017,2.33438
100049407-353255860,152 boulevard du Montparnasse E-O,100049407,boulevard du Montparnasse,353255860,E-O,2018-12-07,Y2H21015072,48.84017,2.33438
100049408-101049408,10 boulevard Auguste Blanqui NE-SO,100049408,boulevard Auguste Blanqui,101049408,NE-SO,2018-12-06,Y2H18086319,48.83082,2.35317
100050132-101050132,243 boulevard Saint Germain NO-SE,100050132,boulevard Saint Germain,101050132,NO-SE,2018-12-13,Y2H18034810,48.86179,2.32014
100050876-103050876,Totem 64 Rue de Rivoli E-O,100050876,Rue de Rivoli,103050876,E-O,2019-09-04,YTH19037970,48.85735,2.35211
100050876-104050876,Totem 64 Rue de Rivoli O-E,100050876,Rue de Rivoli,104050876,O-E,2019-09-04,YTH19037970,48.85735,2.35211
100056032-101056032,87 avenue de Flandre NE-SO,100056032,avenue de Flandre,101056032,NE-SO,2019-11-05,Y2H19070334,48.88926,2.37472
100056034-101056034,72 avenue de Flandre SO-NE,100056034,avenue de Flandre,101056034,SO-NE,2019-11-13,Y2H19070336,48.889046,2.374872
100056035-353266460,Quai des Tuileries SE-NO,100056035,Quai des Tuileries,353266460,SE-NO,2021-05-18,Y2H19070337,48.8635,2.32239
100056035-353266462,Quai des Tuileries NO-SE,100056035,Quai des Tuileries,353266462,NO-SE,2021-05-18,Y2H19070337,48.8635,2.32239
100056036-101056036,2 avenue de la Porte de Bagnolet O-E,100056036,avenue de la Porte de Bagnolet,101056036,O-E,2019-11-14,,48.86451,2.40932
100056038-101056038,44 avenue des Champs Elysées SE-NO,100056038,avenue des Champs Elysées,101056038,SE-NO,2019-10-30,Y2H19070341,48.86999,2.30743
100056039-101056039,180 avenue d'Italie N-S,100056039,avenue d'Italie,101056039,N-S,2019-12-11,Y2H19070342,48.82048,2.35873
